Time	 FAIRTEN4	 FAIRTEN5	 FAIRTEN6	 
0	 188571	 188592	 188592	 
0.01	 188540	 188675	 188451	 
0.02	 188246	 188487	 188070	 
0.03	 187728	 188141	 187428	 
0.04	 186856	 187499	 186418	 
0.05	 185588	 186473	 185057	 
0.06	 184009	 185152	 183437	 
0.07	 182224	 183655	 181650	 
0.08	 180334	 182076	 179806	 
0.09	 178457	 180515	 178027	 
0.1	 176703	 179079	 176422	 
0.11	 175154	 177839	 175066	 
0.12	 173857	 176833	 174003	 
0.13	 172835	 176077	 173252	 
0.14	 172097	 175572	 172813	 
0.15	 171635	 175309	 172670	 
0.16	 171437	 175277	 172800	 
0.17	 171490	 175463	 173181	 
0.18	 171779	 175855	 173785	 
0.19	 172286	 176444	 174590	 
0.2	 172991	 177211	 175563	 
0.21	 173867	 178135	 176672	 
0.22	 174879	 179193	 177882	 
0.23	 175984	 180346	 179147	 
0.24	 177135	 181555	 180425	 
0.25	 178279	 182772	 181661	 
0.26	 179365	 183948	 182807	 
0.27	 180344	 185047	 183829	 
0.28	 181171	 186020	 184681	 
0.29	 181811	 186836	 185340	 
0.3	 182236	 187465	 185782	 
0.31	 182431	 187894	 186004	 
0.32	 182386	 188106	 185999	 
0.33	 182105	 188104	 185780	 
0.34	 181596	 187892	 185361	 
0.35	 180879	 187481	 184762	 
0.36	 179979	 186891	 184012	 
0.37	 178928	 186149	 183144	 
0.38	 177765	 185286	 182193	 
0.39	 176530	 184341	 181202	 
0.4	 175269	 183350	 180207	 
0.41	 174027	 182355	 179248	 
0.42	 172850	 181405	 178371	 
0.43	 171780	 180539	 177609	 
0.44	 170858	 179792	 176993	 
0.45	 170116	 179201	 176551	 
0.46	 169581	 178797	 176304	 
0.47	 169272	 178601	 176268	 
0.48	 169198	 178625	 176443	 
0.49	 169361	 178880	 176835	 
0.5	 169751	 179357	 177426	 
0.51	 170352	 180049	 178204	 
0.52	 171138	 180935	 179143	 
0.53	 172079	 181990	 180217	 
0.54	 173137	 183175	 181384	 
0.55	 174271	 184458	 182614	 
0.56	 175437	 185794	 183867	 
0.57	 176592	 187145	 185105	 
0.58	 177692	 188466	 186292	 
0.59	 178697	 189714	 187391	 
0.6	 179572	 190853	 188373	 
0.61	 180285	 191842	 189204	 
0.62	 180813	 192663	 189875	 
0.63	 181139	 193289	 190364	 
0.64	 181256	 193708	 190666	 
0.65	 181162	 193909	 190775	 
0.66	 180865	 193905	 190707	 
0.67	 180380	 193696	 190464	 
0.68	 179727	 193305	 190069	 
0.69	 178934	 192750	 189540	 
0.7	 178033	 192070	 188911	 
0.71	 177057	 191290	 188204	 
0.72	 176042	 190450	 187454	 
0.73	 175026	 189585	 186690	 
0.74	 174043	 188739	 185948	 
0.75	 173126	 187941	 185253	 
0.76	 172305	 187228	 184634	 
0.77	 171605	 186633	 184120	 
0.78	 171046	 186177	 183725	 
0.79	 170640	 185878	 183464	 
0.8	 170397	 185749	 183348	 
0.81	 170316	 185801	 183387	 
0.82	 170394	 186028	 183575	 
0.83	 170619	 186426	 183909	 
0.84	 170975	 186976	 184373	 
0.85	 171443	 187664	 184959	 
0.86	 171996	 188459	 185636	 
0.87	 172610	 189341	 186393	 
0.88	 173253	 190272	 187195	 
0.89	 173900	 191225	 188023	 
0.9	 174517	 192163	 188842	 
0.91	 175083	 193054	 189628	 
0.92	 175566	 193875	 190358	 
0.93	 175945	 194589	 191001	 
0.94	 176208	 195182	 191544	 
0.95	 176340	 195636	 191970	 
0.96	 176334	 195934	 192261	 
0.97	 176186	 196074	 192416	 
0.98	 175903	 196056	 192432	 
0.99	 175489	 195887	 192313	 
1	 174962	 195578	 192066	 
1.01	 174333	 195146	 191706	 
1.02	 173623	 194611	 191248	 
1.03	 172862	 194002	 190719	 
1.04	 172069	 193345	 190137	 
1.05	 171276	 192671	 189534	 
1.06	 170501	 192009	 188933	 
1.07	 169774	 191387	 188363	 
1.08	 169117	 190836	 187851	 
1.09	 168557	 190380	 187420	 
1.1	 168099	 190035	 187087	 
1.11	 167764	 189826	 186877	 
1.12	 167556	 189762	 186801	 
1.13	 167486	 189850	 186868	 
1.14	 167544	 190087	 187076	 
1.15	 167733	 190472	 187426	 
1.16	 168039	 190997	 187915	 
1.17	 168449	 191648	 188530	 
1.18	 168950	 192406	 189255	 
1.19	 169514	 193245	 190067	 
1.2	 170127	 194142	 190945	 
1.21	 170768	 195079	 191871	 
1.22	 171407	 196021	 192812	 
1.23	 172024	 196941	 193743	 
1.24	 172598	 197814	 194638	 
1.25	 173110	 198618	 195476	 
1.26	 173544	 199335	 196235	 
1.27	 173884	 199943	 196894	 
1.28	 174124	 200430	 197439	 
1.29	 174253	 200791	 197863	 
1.3	 174268	 201015	 198153	 
1.31	 174177	 201112	 198317	 
1.32	 173980	 201077	 198348	 
1.33	 173686	 200926	 198261	 
1.34	 173303	 200671	 198064	 
1.35	 172852	 200327	 197773	 
1.36	 172353	 199918	 197411	 
1.37	 171812	 199456	 196989	 
1.38	 171249	 198972	 196537	 
1.39	 170693	 198483	 196073	 
1.4	 170156	 198012	 195622	 
1.41	 169651	 197583	 195206	 
1.42	 169194	 197209	 194840	 
1.43	 168802	 196905	 194542	 
1.44	 168480	 196691	 194331	 
1.45	 168243	 196569	 194212	 
1.46	 168086	 196548	 194195	 
1.47	 168012	 196628	 194281	 
1.48	 168027	 196806	 194468	 
1.49	 168110	 197076	 194752	 
1.5	 168261	 197425	 195120	 
1.51	 168468	 197847	 195565	 
1.52	 168716	 198319	 196066	 
1.53	 168999	 198831	 196611	 
1.54	 169288	 199356	 197174	 
1.55	 169574	 199880	 197739	 
1.56	 169841	 200379	 198284	 
1.57	 170078	 200845	 198796	 
1.58	 170262	 201251	 199250	 
1.59	 170384	 201587	 199634	 
1.6	 170446	 201842	 199935	 
1.61	 170423	 202002	 200141	 
1.62	 170325	 202067	 200249	 
1.63	 170142	 202034	 200256	 
1.64	 169880	 201903	 200160	 
1.65	 169542	 201680	 199970	 
1.66	 169137	 201370	 199688	 
1.67	 168674	 200991	 199335	 
1.68	 168161	 200550	 198916	 
1.69	 167619	 200069	 198456	 
1.7	 167057	 199560	 197965	 
1.71	 166494	 199045	 197467	 
1.72	 165942	 198540	 196978	 
1.73	 165416	 198060	 196516	 
1.74	 164935	 197628	 196103	 
1.75	 164499	 197256	 195751	 
1.76	 164129	 196955	 195473	 
1.77	 163834	 196741	 195285	 
1.78	 163609	 196612	 195186	 
1.79	 163468	 196577	 195183	 
1.8	 163405	 196638	 195281	 
1.81	 163416	 196790	 195473	 
1.82	 163506	 197033	 195759	 
1.83	 163658	 197352	 196123	 
1.84	 163869	 197736	 196555	 
1.85	 164123	 198179	 197048	 
1.86	 164411	 198660	 197580	 
1.87	 164714	 199163	 198136	 
1.88	 165027	 199676	 198700	 
1.89	 165331	 200180	 199255	 
1.9	 165610	 200656	 199779	 
1.91	 165859	 201095	 200266	 
1.92	 166060	 201483	 200699	 
1.93	 166212	 201808	 201066	 
1.94	 166304	 202060	 201357	 
1.95	 166330	 202236	 201569	 
1.96	 166292	 202332	 201697	 
1.97	 166189	 202351	 201744	 
1.98	 166022	 202292	 201710	 
1.99	 165797	 202159	 201599	 
2	 165518	 201964	 201424	 
2.01	 165199	 201719	 201196	 
2.02	 164849	 201428	 200919	 
2.03	 164476	 201109	 200614	 
2.04	 164089	 200779	 200295	 
2.05	 163708	 200445	 199973	 
2.06	 163334	 200125	 199663	 
2.07	 162981	 199828	 199378	 
2.08	 162660	 199568	 199128	 
2.09	 162377	 199355	 198928	 
2.1	 162136	 199200	 198785	 
2.11	 161946	 199099	 198700	 
2.12	 161808	 199059	 198675	 
2.13	 161717	 199083	 198716	 
2.14	 161676	 199168	 198820	 
2.15	 161679	 199311	 198983	 
2.16	 161719	 199502	 199195	 
2.17	 161790	 199732	 199448	 
2.18	 161886	 199993	 199732	 
2.19	 162001	 200274	 200037	 
2.2	 162112	 200562	 200350	 
2.21	 162224	 200845	 200657	 
2.22	 162312	 201107	 200942	 
2.23	 162376	 201338	 201196	 
2.24	 162412	 201531	 201412	 
2.25	 162402	 201671	 201573	 
2.26	 162344	 201758	 201679	 
2.27	 162238	 201780	 201720	 
2.28	 162078	 201737	 201692	 
2.29	 161870	 201633	 201602	 
2.3	 161611	 201461	 201442	 
2.31	 161298	 201226	 201217	 
2.32	 160946	 200938	 200937	 
2.33	 160569	 200610	 200616	 
2.34	 160152	 200243	 200252	 
2.35	 159723	 199850	 199862	 
2.36	 159293	 199443	 199458	 
2.37	 158850	 199035	 199051	 
2.38	 158424	 198637	 198655	 
2.39	 158025	 198258	 198278	 
2.4	 157650	 197917	 197941	 
2.41	 157308	 197616	 197644	 
2.42	 157010	 197361	 197395	 
2.43	 156761	 197163	 197205	 
2.44	 156559	 197026	 197080	 
2.45	 156414	 196954	 197021	 
2.46	 156309	 196935	 197020	 
2.47	 156257	 196978	 197084	 
2.48	 156250	 197080	 197210	 
2.49	 156285	 197231	 197388	 
2.5	 156345	 197415	 197602	 
2.51	 156434	 197634	 197854	 
2.52	 156543	 197878	 198133	 
2.53	 156659	 198132	 198424	 
2.54	 156765	 198383	 198714	 
2.55	 156870	 198630	 199000	 
2.56	 156963	 198860	 199268	 
2.57	 157031	 199060	 199505	 
2.58	 157067	 199224	 199705	 
2.59	 157065	 199346	 199862	 
2.6	 157039	 199428	 199975	 
2.61	 156967	 199461	 200035	 
2.62	 156859	 199448	 200046	 
2.63	 156713	 199391	 200008	 
2.64	 156527	 199284	 199917	 
2.65	 156320	 199147	 199790	 
2.66	 156086	 198974	 199624	 
2.67	 155828	 198782	 199436	 
2.68	 155554	 198567	 199220	 
2.69	 155286	 198352	 199002	 
2.7	 155009	 198132	 198777	 
2.71	 154738	 197924	 198563	 
2.72	 154487	 197737	 198368	 
2.73	 154248	 197568	 198192	 
2.74	 154038	 197437	 198055	 
2.75	 153858	 197338	 197951	 
2.76	 153705	 197279	 197889	 
2.77	 153586	 197266	 197875	 
2.78	 153494	 197289	 197899	 
2.79	 153432	 197348	 197963	 
2.8	 153405	 197451	 198074	 
2.81	 153392	 197583	 198216	 
2.82	 153402	 197738	 198384	 
2.83	 153427	 197916	 198578	 
2.84	 153458	 198104	 198783	 
2.85	 153485	 198292	 198990	 
2.86	 153514	 198478	 199195	 
2.87	 153532	 198652	 199388	 
2.88	 153526	 198804	 199559	 
2.89	 153502	 198930	 199701	 
2.9	 153452	 199022	 199809	 
2.91	 153371	 199077	 199876	 
2.92	 153255	 199088	 199896	 
2.93	 153110	 199056	 199871	 
2.94	 152936	 198985	 199802	 
2.95	 152726	 198870	 199687	 
2.96	 152488	 198717	 199531	 
2.97	 152225	 198526	 199334	 
2.98	 151941	 198306	 199105	 
2.99	 151645	 198066	 198855	 
3	 151338	 197808	 198585	 
3.01	 151027	 197541	 198307	 
3.02	 150726	 197279	 198033	 
